contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,retrieved,ticker,moneyness,days_to_exp,target
AAPL250620C00005000,2025-06-13 18:58:54+00:00,5.0,191.26,190.8,191.85,-2.75,-1.4174527,10.0,826,14.640625849609377,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.026142423925546377,4,1
AAPL250620C00010000,2025-06-09 17:59:26+00:00,10.0,192.64,185.4,187.55,0.0,0.0,40.0,51,8.125004921875,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.051910299003322266,4,1
AAPL250620C00015000,2025-06-13 13:47:55+00:00,15.0,182.12,180.35,182.65,-8.480011,-4.449114,2.0,5,7.437500703125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.08236327696024599,4,1
AAPL250620C00020000,2025-06-03 13:50:53+00:00,20.0,183.0,175.4,177.1,0.0,0.0,1.0,6,9.203129248046874,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.1092896174863388,4,1
AAPL250620C00025000,2025-06-13 18:58:54+00:00,25.0,171.33,170.35,172.15,-5.550003,-3.1377223,4.0,4,8.363286022949218,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.14591723574388607,4,1
AAPL250620C00030000,2025-05-05 19:10:28+00:00,30.0,170.25,172.4,173.4,0.0,0.0,1.0,1,12.877931638793946,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.1762114537444934,4,1
AAPL250620C00035000,2025-06-13 14:01:55+00:00,35.0,162.06,160.35,162.15,-3.9799957,-2.3970103,4.0,4,6.9687512890625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.21596939405158583,4,1
AAPL250620C00040000,2025-06-13 14:01:55+00:00,40.0,157.05,155.45,157.1,-4.899994,-3.0256217,4.0,4,6.353517683105468,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.2546959567016873,4,1
AAPL250620C00045000,2025-06-13 14:01:55+00:00,45.0,152.05,150.35,152.65,-5.3899994,-3.423526,2.0,5,4.23437970703125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.29595527786912196,4,1
AAPL250620C00050000,2025-06-13 13:53:30+00:00,50.0,146.75,145.9,147.1,-4.8200073,-3.1800535,12.0,1269,3.93750015625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.34071550255536626,4,1
AAPL250620C00055000,2025-06-05 13:58:34+00:00,55.0,146.97,140.4,142.2,0.0,0.0,4.0,358,5.242190947265625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.3742260325236443,4,1
AAPL250620C00060000,2025-06-10 19:22:59+00:00,60.0,143.05,135.45,137.1,0.0,0.0,4.0,337,4.785160268554687,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.4194337644180356,4,1
AAPL250620C00065000,2025-06-10 19:22:59+00:00,65.0,138.08,130.35,132.15,0.0,0.0,4.0,220,4.5351605810546864,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.4707415990730011,4,1
AAPL250620C00070000,2025-06-02 15:09:26+00:00,70.0,131.35,125.45,127.15,0.0,0.0,2.0,304,4.2519578100585935,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.5329272934906738,4,1
AAPL250620C00075000,2025-06-10 16:54:14+00:00,75.0,123.58,120.75,122.15,-3.9199982,-3.0745084,1.0,304,0.500005,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.6068943194691698,4,1
AAPL250620C00080000,2025-06-13 13:53:30+00:00,80.0,117.25,115.45,117.15,-1.75,-1.4705882,10.0,349,3.744141264648437,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.6823027718550106,4,1
AAPL250620C00085000,2025-06-13 13:54:51+00:00,85.0,112.0,110.9,112.15,-2.2399979,-1.9607825,3.0,699,2.57031607421875,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.7589285714285714,4,1
AAPL250620C00090000,2025-06-13 14:12:10+00:00,90.0,107.5,105.45,107.15,-3.699997,-3.3273354,2.0,443,3.2968767578125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.8372093023255814,4,1
AAPL250620C00095000,2025-06-10 18:22:16+00:00,95.0,106.95,101.2,101.9,0.0,0.0,24.0,3657,2.328129179687499,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,0.8882655446470313,4,1
AAPL250620C00100000,2025-06-13 17:17:00+00:00,100.0,97.05,95.5,97.15,-0.94999695,-0.9693846,6.0,221,2.896487133789063,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.0303967027305514,4,1
AAPL250620C00105000,2025-06-06 19:32:13+00:00,105.0,100.05,90.65,92.3,0.0,0.0,7.0,229,1.75000125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.0494752623688157,4,1
AAPL250620C00110000,2025-06-13 18:42:29+00:00,110.0,86.19,85.5,86.95,-4.5099945,-4.9724307,6.0,507,2.3867227832031244,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.2762501450284256,4,1
AAPL250620C00115000,2025-06-13 18:41:53+00:00,115.0,80.75,80.8,82.05,-6.1600037,-7.087796,4.0,384,2.2978558178710937,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.4241486068111455,4,1
AAPL250620C00120000,2025-06-13 17:05:59+00:00,120.0,77.26,76.05,77.1,-3.4899979,-4.3219786,159.0,1212,1.6796891015625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.5531969971524722,4,1
AAPL250620C00125000,2025-06-13 13:58:10+00:00,125.0,72.07,70.45,71.95,-1.4800034,-2.0122411,3.0,409,1.919922275390625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.7344248647148608,4,1
AAPL250620C00130000,2025-06-12 15:53:42+00:00,130.0,68.2,66.05,67.0,0.0,0.0,2.0,938,1.3437532812499997,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1.9061583577712609,4,1
AAPL250620C00135000,2025-06-13 18:58:54+00:00,135.0,61.41,61.0,62.0,-5.0600014,-7.6124587,8.0,534,1.171879140625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,2.198339032730826,4,1
AAPL250620C00140000,2025-06-13 17:45:16+00:00,140.0,57.63,56.05,57.05,-0.9300003,-1.5881153,4.0,869,1.1660197949218751,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,2.4292903001908726,4,1
AAPL250620C00145000,2025-06-13 13:36:13+00:00,145.0,52.09,50.95,52.15,-1.9599991,-3.6262703,3.0,687,1.05859845703125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,2.783643693607218,4,1
AAPL250620C00150000,2025-06-13 19:58:55+00:00,150.0,45.85,46.1,47.1,-3.6000023,-7.280085,62.0,1211,1.009770576171875,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,3.271537622682661,4,1
AAPL250620C00155000,2025-06-13 18:58:54+00:00,155.0,41.53,41.0,42.2,-1.3700027,-3.1934793,13.0,781,0.9023447265625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,3.7322417529496748,4,1
AAPL250620C00160000,2025-06-13 17:28:38+00:00,160.0,37.5,36.3,37.0,-1.7099991,-4.36113,23.0,6384,0.8339860351562498,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,4.266666666666667,4,1
AAPL250620C00165000,2025-06-13 18:27:42+00:00,165.0,31.5,31.1,32.25,-2.5699997,-7.5432925,7.0,1725,0.7421900781249999,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,5.238095238095238,4,1
AAPL250620C00170000,2025-06-13 19:54:40+00:00,170.0,26.3,26.4,27.0,-2.9000015,-9.931512,44.0,3292,0.647464462890625,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,6.4638783269961975,4,1
