contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,bs_price,simulated_pnl_expiry,mc_price,bs_diff,mc_diff,bs_vs_mc,label,predicted_proba,delta,gamma,theta,iv_smoothed_5d,log_return,hist_vol_20d,moneyness_class,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,vega,daily_sentiment_score
AAPL250703C00110000,2025-06-27 19:54:05+00:00,110.0,91.49,90.35,91.55,0.48999786,0.5384592,46.0,418,2.669925200195313,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.5470459468785008,2025-06-29 12:49:53.239946,91.19828430640506,-0.1904849194698386,90.15951508053016,0.2917156935949379,1.3304849194698392,1.0387692258749013,1,0.9999314440600275,0.9955362492650435,0.0002684929587550282,-0.1209391291520961,2.669925200195313,,,OTM,6,6,0.10978520286396182,1.2000000000000028,90.94999999999999,0.5400000000000063,0.0023823093022559837,0
AAPL250703C00140000,2025-06-26 18:49:08+00:00,140.0,61.36,60.85,61.55,0.0,0.0,2.0,1913,1.3828155859374998,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.696240296027183,2025-06-29 12:49:53.239946,61.14924140336234,-0.20725826180340334,60.6427417381966,0.2107585966376604,0.7172582618034014,0.506499665165741,1,0.999747257010675,0.9984315639740808,0.0002016112437638711,-0.04047835909886228,2.026370393066406,0.0,,OTM,6,6,0.0010449320794148381,0.6999999999999957,61.2,0.1599999999999966,0.0009264994504035402,0
AAPL250703C00145000,2025-06-20 16:42:17+00:00,145.0,53.74,55.85,56.6,0.0,0.0,11.0,70,1.2968785156249998,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.7211060208852966,2025-06-29 12:49:53.239946,56.1556487825504,-0.16805820239485314,55.68194179760515,-2.4156487825503987,-1.9419417976051463,0.47370698494525243,0,0.0019775653059382675,0.9977670788705921,0.00029635699492412606,-0.047398746147500406,1.7832064339192708,0.0,,OTM,6,6,0.15492957746478872,0.75,56.225,-2.4849999999999994,0.0012772638755704782,0
AAPL250703C00150000,2025-06-27 17:33:19+00:00,150.0,52.13,50.05,52.35,2.0300026,4.0519013,1.0,14,1.1484417578125,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.7459717457434103,2025-06-29 12:49:53.239946,51.15453697206863,0.688178993224632,50.73817899322463,0.9754630279313758,1.3918210067753733,0.4163579788439975,1,0.999932306881957,0.9979527400686956,0.0003093267486007298,-0.043078318906725414,1.624515264892578,0.0,,OTM,6,6,0.06666666666666667,2.3000000000000043,51.2,0.9299999999999997,0.0011805723383083034,0
AAPL250703C00155000,2025-06-20 15:52:48+00:00,155.0,43.55,45.85,46.6,0.0,0.0,1.0,1,1.0625046875000002,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.770837470601524,2025-06-29 12:49:53.239946,46.16132590367053,-0.07281311477054686,45.777186885229455,-2.611325903670533,-2.2271868852294574,0.38413901844107556,0,0.001884815628854634,0.9970606419707893,0.00046374200183910244,-0.05013776948390825,1.5121131494140625,0.0,,OTM,6,6,0.5,0.75,46.225,-2.6750000000000043,0.0016374703256334965,0
AAPL250703C00160000,2025-06-25 18:30:13+00:00,160.0,41.38,40.9,41.6,0.0,0.0,3.0,3,0.9726565234375,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.7957031954596376,2025-06-29 12:49:53.239946,41.16914904260585,-0.0813961192836814,40.81860388071632,0.21085095739415038,0.5613961192836854,0.350545161889535,1,0.999036735896285,0.9958589661855175,0.0006891882128792431,-0.057905211002478744,1.1726594140625,0.0,,OTM,6,6,0.75,0.7000000000000028,41.25,0.13000000000000256,0.002227734836804291,0
AAPL250703C00165000,2025-06-27 17:33:29+00:00,165.0,37.16,35.9,36.6,0.59000015,1.6133447,21.0,5,0.85937640625,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.8205689203177513,2025-06-29 12:49:53.239946,36.17260812017639,-0.035199520341009816,35.86480047965899,0.9873918798236048,1.2951995203410078,0.30780764051740306,1,0.9999451280388663,0.9950954051997728,0.0009072772073308236,-0.05956758774161265,1.0679715781249999,0.0,,OTM,6,6,3.5,0.7000000000000028,36.25,0.9099999999999966,0.002591132240413068,0
AAPL250703C00170000,2025-06-26 14:49:12+00:00,170.0,30.1,30.1,32.4,0.0,0.0,15.0,30,0.7480493945312501,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.845434645175865,2025-06-29 12:49:53.239946,31.176409837936916,0.809841084925921,30.909841084925922,-1.0764098379369145,-0.809841084925921,0.2665687530109935,0,0.8892969150787681,0.9940615442678294,0.0012354890118850639,-0.06140344321843411,0.9582057539062501,0.0,,OTM,6,6,0.4838709677419355,2.299999999999997,31.25,-1.1499999999999986,0.00307139246365147,0
AAPL250703C00172500,2025-06-25 13:35:25+00:00,172.5,30.59,27.5,29.95,0.0,0.0,1.0,2,0.6738313867187502,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.8578675076049218,2025-06-29 12:49:53.239946,28.672544083142526,0.9334303801249497,28.43343038012495,1.9174559168574739,2.15656961987505,0.23911370301757628,1,0.9999564902379566,0.9945642633142563,0.001267984470114861,-0.055356027139554106,0.8632836796875001,0.0,,OTM,6,6,0.3333333333333333,2.4499999999999993,28.725,1.8649999999999984,0.002839431016831006,0
AAPL250703C00175000,2025-06-27 18:52:37+00:00,175.0,26.25,26.0,28.0,-0.20000076,-0.75614655,17.0,42,0.9150399121093752,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.8703003700339786,2025-06-29 12:49:53.239946,26.450758530906796,0.10592615681830608,26.105926156818306,-0.2007585309067963,0.14407384318169392,0.3448323740884902,1,0.9992956470307729,0.9573739253651904,0.005439222321800586,-0.27499802528573564,0.8337907246093751,0.0,,OTM,6,6,0.3953488372093023,2.0,27.0,-0.75,0.01654028540998782,0
