contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected
SPY250630C00345000,2025-06-03 19:58:00+00:00,345.0,252.03,268.41,270.54,0.0,0.0,12.0,0,3.583985415039063,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.5610577402668173,2025-06-29 12:49:52.353214
SPY250630C00350000,2025-06-27 19:45:05+00:00,350.0,263.21,263.41,265.55,12.999985,5.1956296,5.0,0,3.5107434106445314,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.5691890118648871,2025-06-29 12:49:52.353214
SPY250630C00375000,2025-06-26 15:09:29+00:00,375.0,235.73,238.42,240.55,0.0,0.0,1.0,0,3.123049067382812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6098453698552362,2025-06-29 12:49:52.353214
SPY250630C00380000,2025-05-23 15:41:23+00:00,380.0,200.19,214.11,216.1,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.617976641453306,2025-06-29 12:49:52.353214
SPY250630C00385000,2025-06-24 19:51:02+00:00,385.0,220.98,228.42,230.55,0.0,0.0,1.0,1,2.9746119384765626,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6261079130513758,2025-06-29 12:49:52.353214
SPY250630C00390000,2025-06-12 13:44:52+00:00,390.0,210.9,223.42,225.55,0.0,0.0,2.0,0,2.9003933740234373,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6342391846494456,2025-06-29 12:49:52.353214
SPY250630C00395000,2025-06-12 13:44:52+00:00,395.0,205.9,218.42,220.55,0.0,0.0,1.0,1,2.8281279296874997,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6423704562475154,2025-06-29 12:49:52.353214
SPY250630C00400000,2025-06-26 18:49:08+00:00,400.0,211.3,213.42,215.55,0.0,0.0,18.0,15,2.75781560546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6505017278455852,2025-06-29 12:49:52.353214
SPY250630C00405000,2025-06-10 17:13:04+00:00,405.0,197.79,208.42,210.55,0.0,0.0,4.0,5,2.686526721191407,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.658632999443655,2025-06-29 12:49:52.353214
SPY250630C00410000,2025-06-10 19:09:52+00:00,410.0,193.4,203.42,205.55,0.0,0.0,6.0,1,2.61719095703125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6667642710417249,2025-06-29 12:49:52.353214
SPY250630C00415000,2025-06-10 16:24:37+00:00,415.0,187.04,198.42,200.55,0.0,0.0,2.0,0,2.5478551928710935,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6748955426397947,2025-06-29 12:49:52.353214
SPY250630C00420000,2025-05-15 19:21:59+00:00,420.0,171.5,176.95,178.11,0.0,0.0,2.0,105,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6830268142378645,2025-06-29 12:49:52.353214
SPY250630C00425000,2025-06-27 13:56:46+00:00,425.0,189.46,188.42,190.55,12.170013,6.864467,1.0,1,2.4111367846679688,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6911580858359343,2025-06-29 12:49:52.353214
SPY250630C00430000,2025-06-10 16:34:18+00:00,430.0,172.31,183.42,185.55,0.0,0.0,2.0,2,2.3437541406249993,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.6992893574340041,2025-06-29 12:49:52.353214
SPY250630C00435000,2025-06-12 13:50:22+00:00,435.0,166.2,178.42,180.56,0.0,0.0,2.0,0,2.2832074169921874,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7074206290320739,2025-06-29 12:49:52.353214
SPY250630C00440000,2025-06-26 15:57:09+00:00,440.0,171.16,173.42,175.56,0.0,0.0,1.0,3,2.216801333007812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7155519006301437,2025-06-29 12:49:52.353214
SPY250630C00445000,2025-06-20 13:44:04+00:00,445.0,154.5,168.42,170.56,0.0,0.0,2.0,0,2.151371809082031,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7236831722282135,2025-06-29 12:49:52.353214
SPY250630C00450000,2025-06-26 16:36:00+00:00,450.0,161.03,163.43,165.56,0.0,0.0,6.0,0,2.086918845214843,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7318144438262834,2025-06-29 12:49:52.353214
SPY250630C00455000,2025-06-24 19:32:06+00:00,455.0,153.0,158.43,160.56,0.0,0.0,2.0,4,2.0224658813476566,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7399457154243532,2025-06-29 12:49:52.353214
SPY250630C00460000,2025-06-25 13:46:47+00:00,460.0,147.8,153.43,155.56,0.0,0.0,1.0,4,1.958984580078125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.748076987022423,2025-06-29 12:49:52.353214
SPY250630C00465000,2025-06-10 14:50:08+00:00,465.0,136.94,148.43,150.56,0.0,0.0,1.0,0,1.8955083349609376,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7562082586204929,2025-06-29 12:49:52.353214
SPY250630C00470000,2025-06-26 14:50:10+00:00,470.0,140.48,143.43,145.56,0.0,0.0,3.0,1,1.8320320898437497,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7643395302185627,2025-06-29 12:49:52.353214
SPY250630C00475000,2025-06-25 18:23:31+00:00,475.0,131.76,138.42,140.56,0.0,0.0,1.0,1,1.7705089599609374,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7724708018166325,2025-06-29 12:49:52.353214
SPY250630C00480000,2025-06-18 14:44:57+00:00,480.0,121.0,133.42,135.56,0.0,0.0,2.0,0,1.7080092724609375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7806020734147023,2025-06-29 12:49:52.353214
SPY250630C00485000,2025-06-26 14:31:29+00:00,485.0,125.5,128.43,130.56,0.0,0.0,200.0,3,1.646486142578125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7887333450127721,2025-06-29 12:49:52.353214
SPY250630C00490000,2025-06-20 14:09:07+00:00,490.0,107.4,123.43,125.56,0.0,0.0,2.0,2,1.5859395703124997,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.796864616610842,2025-06-29 12:49:52.353214
SPY250630C00491000,2025-06-11 15:34:27+00:00,491.0,113.67,122.43,124.56,0.0,0.0,2.0,0,1.5732443212890623,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7984908709304559,2025-06-29 12:49:52.353214
SPY250630C00492000,2025-06-17 18:20:56+00:00,492.0,105.72,121.43,123.56,0.0,0.0,1.0,0,1.5615256298828122,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8001171252500698,2025-06-29 12:49:52.353214
